Title,Text,Label
Uncanny resemblance? Michael V stars as Ciala Dismaya in ‘Bubble Gang’,"SUMMARY This is AI generated summarization, which may have errors. For context, always refer to the full article. Bubble Gang's X and Angie de Silva/Rappler MANILA, Philippines – Michael V has suited up to portray controversial figure Sarah Discaya after social media users pointed out his striking resemblance to the public works contractor. Discaya made headlines anew in early September when sheadmittedduring a Senate probe that there were instances when her nine construction firms bid for the same government flood control projects. The businesswoman had initially denied the allegations, but after further prodding from Senator Jinggoy Estrada (who waslater taggedin alleged flood control kickbacks in Bulacan), Discaya admitted the scheme. But it wasn’t just Discaya’s revelation that stuck out to the public — it was her resemblance to popular Kapuso comedian Michael V. Memes comparing the two figures’ features had begun to surface, and before long, GMA gag showBubble Gangteased footage and photos of Michael V dressed in a similar garb as that of Discaya’s. In the photos posted byBubble Gang, Michael V had on a wig mimicking Discaya’s hairstyle, two moles in the same spots Discaya has them on her face, glasses, and similar outfit — consisting of an inner top and blazer. In one photo, Michael V was also holding an umbrella, seemingly alluding to Discaya’s statement in an interview with TV and YouTube personality Julius Babao that she bought one of herluxury vehicles, a Rolls-Royce, because she liked the umbrella built into the car door. Michael V’s character was named Ciala Dismaya, a play on Sarah Discaya’s name, appearing to be referring to the Filipino slang term ofshala(meaning fancy) anddismaya(disappointment). The Discayas’ legal counsel, Cornelio Samaniego III,toldGMA Newsthat Sarah is aware of Michael V’s impersonation of her. Samaniego debunked rumors that Discaya was angry at the comedian for the skit — adding that the businesswoman is okay with it. TheBubble Gangepisode will premiere on Sunday, September 14, at 6:10 pm on GMA Network. Sarah Discaya’s construction firms have since beendisqualifiedfrom bidding for government projects. The former Pasig City mayoral candidate and her husband, Pacifico “Curlee” Discaya, have also expressed their desire tobecome state witnessesin the flood control project scandal. (FAST FACTS: On becoming a state witness)– Rappler.com How does this make you feel? follow us",Real
Massive Solar Farm Approved In UK Countryside,"Planning permission has been given for a solar farm the size of more than 100 football pitches to be built on fields in Leicestershire. Blaby District Council has granted Soars Solar Ltd permission for the green energy scheme on 201 acres (81 hectares) of land at Soars Lodge Farm in Foston, near Countesthorpe. The planned blot on the landscape will be mounted on a metal framework that would be easily removable when it comes to decommissioning. BYPASS THE CENSORSSign up to get unfiltered news delivered straight to your inbox. Sign up to get unfiltered news delivered straight to your inbox. You can unsubscribe any time. By subscribing you agree to ourTerms of Use BBCreports: There were 34 objections to the scheme,the Local Democracy Reporting Servicesaid, including concerns about disruption to views and the complex being out of character with the rural area. The developers said the solar farm would generate 49.8MW, which would power about 12,000 homes per year over 40 years. Further objections included fears about a decrease in the value of houses, negative impact to mental health and wellbeing of people living nearby, impacts the solar farm would have on walking routes and an increase in noise pollution. Speaking at the meeting at which the project was approved, Countesthorpe ward councillor Adrian Clifford said: “Size and visual impact of what is currently proposed represents a travesty for Countesthorpe and those who live, value and enjoy the rural setting and visual amenity of the surrounding countryside location.” The councillor said he had spoken to the firm to try to secure a site which would cause less “visual harm” to the area but had been told solar panels could not be made to “look pretty. by Niamh Harris in News0 Starmer Faces Pressure Over Fresh Mandelson-Epstein Links Lord Mandelson Sacked As US Ambassador Over His Links To Jeffrey Epstein Copyright © 2025 Fact Checked Limited. All rights reserved |The People's Voice",Fake
"In Cebu, damaged ripraps mire flood-prone Butuanon river","SUMMARY This is AI generated summarization, which may have errors. For context, always refer to the full article. SLANTED. The state of the riprap near the Pulangbato Bridge Road along the Butuanon River in Barangay Pulangbato, Cebu City on August 27. John Sitchon/Rappler CEBU CITY, Philippines – Multiple portions of flood control structures along Cebu’s Butuanon River were left in ruins after a single flooding incident on August 15. From August 27 to 28, Rappler traced the Butuanon River from Barangay Malubog to Barangay Talamban in Cebu City and from Barangay Canduman to Barangay Paknaan in Mandaue City. There, we found at least four damaged sections of a flood control structure along Sitios Pulangbato Proper, Dita, and Candarong of Barangay Pulangbato, Cebu City, and another damaged section of a riprap along Barangay Casuntingan, Mandaue City. Collated reports from the Department of Public Works and Highways (DPWH) Cebu 6th District and Cebu City District Engineering Offices (DEOs) confirmed that the damage was linked to the August 15 flooding incident. Engineer Martin Tan of On Point Construction, the contractor for the damaged riprap in Mandaue City, said in aCDN Digital articledated August 16 that the structure collapsed because water rushed from both sides of the riprap wall. Engineer Reynaldo Fernandez of BNR Construction and Development Corporation, one of the contractors of the riprap in Barangay Pulangbato, told Rappler on Wednesday, September 10, that the damaged sections were due to the heavy flooding in mid-August. Historically, the Butuanon River is known to overflow during heavy rain showers, affecting thousands of residents living along the upstream areas in Cebu City and downstream areas in Mandaue City. In September 2022, the Butuanon Riveroverfloweddue to heavy rainfall, resulting in the destruction of 675 houses. At least 1,800 residents were evacuated during the incident. In July 2024,SunStar Cebureportedthat the Butuanon River overflowed again, trapping more than 190 families in Barangay Umapad, and making sections of UN Avenue and S.B. Cabahug Street impassable. But flooding isn’t the only cause for concern when it comes to the Butuanon River. In 2020, the Mandaue city government declared the Butuanon River off-limits to the public after the Department of Health’s Research Institute of Tropical Medicine (RITM), found that the water there testedpositive for the poliovirus. Since 1992, the Butuanon River had been declared adead river— a contaminated waterway incapable of supporting flora and fauna. Jesse Baring, an engineer and convenor of the Movement for Livable Cebu (MLC), told Rappler on Thursday, September 11, that if water along the river rose with greater strength, the walls of the damaged flood control structures could be washed out, placing more communities at risk to flash floods. “The sudden rise in flood water will [reach] the community and larger damage could happen,” Baring said. A quick glance at the website of theNationwide Operational Assessment of Hazards(NOAH) of the University of the Philippines showed that multiple residential areas in Barangay Pulangbato near the Butuanon River are at high risk of flooding. Some of the flood control projects along Butuanon River that were damaged from the August 15 flooding incident were built just a year before. DPWH infrastructure records showed that the riprap in Barangay Casuntingan, Mandaue City, had a contract amount of around P96.5 million and was initiated on February 16, 2024. On Point Construction, the contractor of the riprap, earlier said that the repairs for the damaged portion of the riprap would cost more than half a million pesos. The DPWH Cebu 6th DEO clarified in a statement on August 29, that the damage was caused by floodwaters carrying debris, garbage, and silt that created intense pressure behind the riprap’s wall. Based on the DPWH Cebu City DEO’s damage report, two of the flood control projects in Barangay Pulangbato were completed on December 19, 2024. The first project was a joint venture between Flusskrebs Constructors and BNR Construction and Development Corporation that had a contract amount of around P144.5 million, while the second one was led by BNR Construction with an identical contract amount of around P144.5 million. Rappler visited the office of Flusskrebs Constructors in Mandaue City but was told that they would refer clarifications on the project to BNR Construction. Fernandez, representing BNR Construction, told Rappler that they have met with the DPWH Cebu City DEO to address concerns over the structural design of the damaged portions of the flood control structures. Other projects mentioned in the DPWH Cebu City DEO’s damage report included a P43.9-million flood mitigation project completed by BNR on October 22, 2023, and a P62.2-million flood mitigation project completed by A.T. Tan Construction and ARQ Builders on May 22, 2022. On Tuesday, September 9, Rappler tried calling and visiting the office of A.T. Tan Construction along Vicente Sotto Street in Cebu City to seek their comment but found only a run-down building. Rappler also tried calling ARQ Builders via phone numbers available on their social media page on Thursday, September 11, but our calls were dropped. We have sent a message to ARQ Builders through their ARQ Cebu Facebook page. This article will be updated once we receive their statements. The DPWH Cebu 6th DEO announced that repairs for the flood control structure along Butuanon River in Barangay Casuntingan, Mandaue City, were finished on August 28. “Restoration works began immediately, with reconstruction of the stone masonry and its face wall, the construction of an additional barrier wall to block strong floodwater currents, and the completion of concrete pouring for the face wall in three layers,” the office said in their statement. DPWH Cebu City District Engineer Manolo Madronio Jr. told Rappler on August 29, that since some of the projects in Barangay Pulangbato were finished in 2023 and 2024, they still qualify for warranty repairs. “Etong mga nasira will be at the cost to the contractor dahil pasok pa sa warranty period, and actually, pinapasulat natin mga contractors natin para mainform sila,” Madronio said. (The ones that have been damaged will be at the cost of the contractor since it’s still within the warranty period, and actually, we have written the contractors to inform them.) According to the DPWH Cebu City DEO, repair works have already begun. BNR Construction confirmed to Rappler that they started with their clearing operations in the first week of September. “Nag-clearing [operations] pa ta kay di man pud nato marepair deretso(We are still conducting clearing [operations] since we can’t immediately repair it yet),” Fernandez said. Still, it’s a race against time. While the DPWH coordinates with the contractors for the development of better flood control structure designs, only time will tell when the next heavy rainfall will happen and by then, repair work could become more complicated. “Just pray we don’t get heavy rain that can create a flash flood and that those open or unfinished [structures] could bring flood water to the community,” Baring of MLC said.– Rappler.com How does this make you feel? follow us",Fake
Gazans face new dilemma as Israeli forces advance,"Sign uphere. Reporting by Nidal al-Mughrabi in Cairo and Dawood Abu Elkas in Gaza City;
Writing by Estelle Shirbon;
Editing by Philippa Fletcher and Helen Popper Our Standards:The Thomson Reuters Trust Principles., opens new tab Thomson Reuters A senior correspondent with nearly 25 years’ experience covering the Palestinian-Israeli conflict including several wars and the signing of the first historic peace accord between the two sides. Germany's army needs to add 100,000 active troops to its existing 62,000 to meet new NATO targets intended to boost preparedness for the growing threat of Russian aggression, its commander says in a confidential paper seen by Reuters on Thursday. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Access unmatched financial data, news and content in a highly-customised workflow experience on desktop, web and mobile. Browse an unrivalled portfolio of real-time and historical market data and insights from worldwide sources and experts. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes.See here for a complete list of exchanges and delays. © 2025 Reuters.All rights reserved",Real
Lord Mandelson Sacked As US Ambassador Over His Links To Jeffrey Epstein,"British prime minister Sir Keir Starmer has caved in to pressure and sacked Peter Mandelson as the UK’s ambassador to the US According to a Foreign Office statement, the decision was made “in light of the additional information in emails written by Peter Mandelson” Known as ‘the price of darkness’, Mandelson who had resigned twice from cabinet, was appointed as the UK’s top diplomat in Washington last December…..He’s been facing mounting scrutiny over his relationship with the late convicted pedophile Jeffrey Epstein. BYPASS THE CENSORSSign up to get unfiltered news delivered straight to your inbox. Sign up to get unfiltered news delivered straight to your inbox. You can unsubscribe any time. By subscribing you agree to ourTerms of Use When questioned yesterday over Mandeslon’s appointment, Starmer told MPs: “I have confidence in him”. Here’s the statement in full, issued by the British Embassy in Washington: “In light of the additional information in emails written by Peter Mandelson, the Prime Minister has asked the Foreign Secretary to withdraw him as Ambassador. “The emails show that the depth and extent of Peter Mandelson’s relationship with Jeffrey Epstein is materially different from that known at the time of his appointment. “In particular Peter Mandelson’s suggestion that Jeffrey Epstein’s first conviction was wrongful and should be challenged is new information. In light of that, and mindful of the victims of Epstein’s crimes he has been withdrawn as Ambassador with immediate effect.” by Niamh Harris in News0 Massive Solar Farm Approved In UK Countryside Copyright © 2025 Fact Checked Limited. All rights reserved |The People's Voice",Fake
"OVP: Sara paid for own trips abroad, but P7.5M spent on security","MANILA, Philippines — The Office of the Vice President said that Vice President Sara Duterte has been paying for her foreign trips using personal funds, but confirmed that her office has so far disbursed P7.47 million this year for the travel of her security and staff. Kelvin Gerome Tenido, OVP budget division chief, told reporters on Thursday, September 11, that while Duterte shoulders her own and her family’s expenses abroad, public funds cover the costs of the security personnel assigned to her. “All the travel overseas of the Vice President is covered by a travel authority and did not include any public funds,"" Tenido said at a press conference a day before the OVP is set to defend its budget at the House of Representatives. ""The P7.47 million was utilized for the security personnel of the OVP, and including the close-in or the civilian personnel,"" he added. Breaking down the figures, Tenido said OVP had obligated a total of P20.68 million in travel expenses as of July 31. Of this, P13.21 million went to local trips and P7.47 million to foreign travel. Under domestic travel, the OVP has spent P10.05 million for the travel of OVP personnel. Meanwhile, P3.16 million has been spent for Duterte's security personnel. Reporters pressed Tenido on whether taxpayers were still covering parts of Duterte’s overseas trips. He confirmed that while the Vice President and her family shouldered their personal costs, the cost of paying for security is ""under the OVP fund."" In total, for 2025, Duterte's office was allocated P31.5 million for international travel and P31 million for domestic trips, according to data shared by the OVP. For 2026, the OVP is proposing P20 million for travel expenses, under its total proposed P902.9 million budget in the National Expenditure Program. The OVP budget chief noted that the amount is the lowest since 2023, when the allocation reached its peak at P31.5 million. Asked why the figure was reduced, he explained that the Department of Budget and Management sets allocations based on an agency’s absorptive capacity, a rule applied across all agencies. Tenido said the OVP “submits to the wisdom of Congress” on whether to maintain or reduce the allocation during deliberations. The OVP budget chief did not detail the countries Duterte has visited so far this year. He also avoided confirming destinations or future trips, saying they could not provide information on the vice president's schedule. Philstar.com is one of the most vibrant, opinionated, discerning communities of readers on cyberspace. With your meaningful insights, help shape the stories that can shape the country. Sign up now! Signup for the News Round now",Real
"Charlie Kirk’s Chilling Warning: ‘If I’m Assassinated, It Will Be Israel’","Charlie Kirk once made a chilling prediction. He said that if he ever spoke out against Israel… they would kill him. Not just smear him. Not just cancel him. Kill him. And he tied that threat directly to his America First values. Because to truly put America first… meant questioning the grip of Israel. Now he’s dead. And not just dead, but taken out in the exact way he warned it would happen. A sniper. Hidden. Waiting. Striking from a distance on a college campus. The perfect stage for a story that could be spun to blame domestic enemies — to fracture America even further. But that’s not all. His assassination serves another purpose. It’s a signal. A warning shot to anyone else who dares to break ranks. BYPASS THE CENSORSSign up to get unfiltered news delivered straight to your inbox. Sign up to get unfiltered news delivered straight to your inbox. You can unsubscribe any time. By subscribing you agree to ourTerms of Use And the question we have to ask tonight is this: who really pulled the trigger? Charlie Kirk wasn’t just another pundit. He wasthevoice of conservative youth in America. And that made him lethal to Israel. Because Israel doesn’t stand on its own. It stands on the shoulders of American conservatives. Without that support, the whole house of cards comes crashing down. If Charlie flipped? If he told millions of young conservatives that Israel was not their fight? It would be over. Within the next generation, Israel would be finished. That’s how much power he held. For Israel, Charlie Kirk wasn’t just a threat… it was existential. Just months before his death, Charlie Kirk began to shift. He starting to speak more critically about certain policies — and certain actors — that everyone knew were tied to Israel. Or, at the very least, heavily influenced by pro-Israel networks. And with that shift came a warning. Kirk said Israel, and the intelligence or political forces aligned with it, had a reach that extended far beyond Washington. Dissent would not be tolerated. And for those who crossed the line… the consequences could be deadly. Most in the media called him alarmist. Conspiratorial. Over the top. But now, after the sniper’s bullet, his words are being re-examined — with a new and chilling urgency. One of the first people to connect the dots publicly was Harrison H. Smith, host onInfowars. In a string of tweets and on-air statements, Smith dropped a bombshell. He claimed that those close to Charlie had confided something terrifying. I posted this nearly a month ago.Yes, it’s true.My source was second-hand, but it came up during a conversation about Rightwing Zionist influencers.https://t.co/mg4uwJKXfj That Charlie believed — deep down — that if he ever crossed Israel, if he ever turned against them… they would kill him. Not just cancel him. Not just bury him in the press. Kill him Charlie’s audience was shifting. You could see it in the comments, in the energy at his events. Every day, more and more of them were turning against Israel. He couldn’t ignore it forever. He was being forced to face that reality. And behind the scenes, he began telling his colleagues what was coming. That he was ready to take a stand. That he was going to align himself with Tucker Carlson… and with Candace Owens. He knew the risks. He knew it could be catastrophic. But he also knew it was inevitable. Because Israel understands one thing very clearly: if they lose the young generation of American conservatives, they lose everything. Their influence, their funding, their unquestioned political support — gone. Charlie saw that. He knew that if he came out and denounced Israel, openly, directly… it could collapse the right-wing’s support for Israel almost overnight. And then… the unthinkable happened. A sniper’s bullet. Fired from a distance. On a college campus. The perfect stage for chaos, fear, and confusion. Within minutes, the narrative was ready-made: blame it on domestic enemies. Blame it on political division. Use it to stoke the fire that’s already tearing this country apart. But for those who had been listening — for those who remembered Charlie’s warnings — the details were impossible to ignore. He said the reprisals could be lethal. He said he would be killed if he crossed the wrong line. Like exposing the Jeffrey Epstein Mossad connections to millions of young mainstream conservatives. Did Charlie Kirk, with his audience of mainstream conservative youth, fly too close to the sun? Did he tell too much truth? Those closest to him are saying yes. Now we’re left asking the question no one in the mainstream will touch: was this just a standard act of domestic political violence… or have we entered a new era… one in which America’s handlers begin taking drastic action to keep the country on its leash? According to multiple experts, this wasn’t random. It wasn’t sloppy. It carries all the fingerprints of a professional operation — the kind of precision you only see from high-level intelligence agencies. So let’s break it down. Let’s look at the evidence. First, consider this. The shooter wasn’t apprehended on the day. Not inrural Utah. Think about that. Utah is small-town America. You don’t just disappear out there. You don’t vanish into the crowd. Not without serious help. So ask yourself — how does a sniper pull off a clean escape in a place where everybody knows everybody, where strangers stick out like a sore thumb? This wasn’t some lone drifter. This was a big operation. Coordinated. Professional. The kind of job that only makes sense if there’s backing — and serious backing — behind it. Second. Watch the footage. Slow it down. On the roof of the Losee Center at Utah Valley University — just moments before Charlie Kirk was shot — there it is. An unknown figure. Not a student. Not a random passerby. Someone in professional attire. Moving with calm. With precision. This is the view to the stage from the Losee Center. A perfect vantage point. And the correlates match what has been released by law enforcement. Roughly 200 yards to the stage, as they say And then there’s the follow-up footage. Right after the shots are fired… look closely. Zoom in. You’ll see an individual sprinting across the roof of the Losee Center. Not strolling. Not confused. Running. Moving with intent. Who was that? Why were they on the roof in the first place? And why—just seconds after Charlie Kirk was taken down—were they making a getaway? This isn’t speculation. It’s on camera. And then the close-up in slow-mo. Unmistakable. This wasn’t a lone wolf with a grudge. This wasn’t chaos. It was deliberate. It was surgical. It was professional. To those who’ve studied it, the conclusion is obvious: this has all the hallmarks of a high-level intelligence operation. And then there’s the final piece. The man on the ground. Black trousers. White shirt. Cap pulled low. Watch closely. He touches the brim of his cap. Then the hand signal. Quick. Precise. Like a baseball coach calling a play. And then seconds later… the fatal shot rings out. That sure as hell doesn’t look random. That’s coordination. This assassination feels eerily like JFK. A shot from a distance. Confusion. A ready-made narrative. And behind it all — the question of who benefits. Because hits like this don’t happen in a vacuum. Someone planned it. Someone coordinated it. And someone gained from it. Whoever it was, the objective was clear: silence Charlie Kirk, and send a message. And until we expose the planners — the hidden hands behind the shooter, the ones shaping the story, the ones who will provide a patsy to be paraded before the normies and vilified — how can anyone talk about safety in America with a straight face? And now, shift your gaze back in time. Remember the attempt on Donald Trump’s life — the Butler, Pennsylvania rally, last summer. And now there’s new video raising serious questions. Footage showing what appear to be very similar signals — hand gestures, subtle cues — being sent by someone standing close to the president. The resemblance to what we just saw in the Charlie Kirk shooting is uncanny. And it forces the question: are we looking at isolated events… or the same playbook, run again and again? Charlie Kirk knew the Trump shooting didn’t add up. He said it outright — the story the media pushed didn’t match the footage, the timing, the signals. He saw the same patterns we’re seeing now. And that made him dangerous. Because once you start connecting those dots, you realize these events aren’t random. They follow a script. A playbook. And Charlie was starting to pull on that thread. Charlie Kirk was flying too close to the sun. He wasn’t just questioning narratives — he was threatening to expose them. And for someone in his position — the spokesman for America’s conservative youth — that was a risk the system couldn’t afford. Always remember the golden rule of political assignations… Don’t ask how, ask who benefits. Watch: by Baxter Dmitry in News0 Lord Mandelson Sacked As US Ambassador Over His Links To Jeffrey Epstein Copyright © 2025 Fact Checked Limited. All rights reserved |The People's Voice",Fake
Starmer Faces Pressure Over Fresh Mandelson-Epstein Links,"Britain’s prime ministerSir Keir Starmer is facing mounting pressureto sackUS ambassador Lord Mandelson, after the emergence of fresh revelations about his links to the late convicted pedophile Jeffrey Epstein. Mandelson’s future as US Ambassador now appears to be hanging by a thread after new emails emerged revealing his close ties with Jeffrey Epstein. MPs from both the Conservative and the Labour parties have called for Mandelson to be sacked but the prime minister has so far stood by the diplomat. BYPASS THE CENSORSSign up to get unfiltered news delivered straight to your inbox. Sign up to get unfiltered news delivered straight to your inbox. You can unsubscribe any time. By subscribing you agree to ourTerms of Use UPDATE: The Foreign Office has just confirmed Peter Mandelson has been sacked by Prime Minister Keir Starmer. Earlier this yearMandelson said he ‘regrets ever meeting Epstein’. MSNreports:Sir Keir Starmer said he still had “confidence” in Lord Mandelsonas the Prime Minister faced questions in the Commons over a 2003birthday note in which the Labour grandee described Epstein as his “best pal”. But he soon faced calls to dismiss the peer following reports he had supported Epstein when the banker was being investigated for sexual offences. On Thursday morning, Home Office minister Mike Tapp admitted Lord Mandelson’s messages to Epstein were “disturbing”. The ambassador reportedly told the child sex offender to “fight for early release” shortly before he was sentenced to 18 months in prison, and said “I think the world of you” the day before he began his sentence in 2008. Asked for his reaction, Mr Tapp told BBC Breakfast the emails made him “shudder”. He added: “I find it disturbing, those sorts of emails in honesty… we have to just look at what Peter Mandelson saying around his regret and what he knew at the time.” Reports in both The Sun and Bloomberg revealed emails in which Lord Mandelson told Epstein he was “following you closely and here whenever you need” and urged him to “remember the Art of War” when dealing with prosecutors. They prompted calls for the ambassador to be sacked from both Conservative andLabourpoliticians. Tory leaderKemi Badenochdescribed the revelations as “sickening” and said Lord Mandelson’s position was “untenable”. Asking why Sir Keir had continued to defend him in the Commons, Ms Badenoch said: “This is a weak Prime Minister, leading a Government mired in scandal. The public deserves better. “Peter Mandelson needs to be fired now.” She was joined by Labour backbenchers Richard Burgon and Nadia Whittome, who also called for Lord Mandelson to be sacked “immediately”. Both said the peer should never have been appointed to the role, while Ms Whittome added: “We either stand with victims or we don’t.” The Conservatives also sought to increase the pressure on the Prime Minister by tabling a series of parliamentary questions asking for information about what Lord Mandelson had said about his association with Epstein during the vetting process for his diplomatic role. Meanwhile, shadow minister Alicia Kearns called on Foreign Affairs Committee chairwoman and Labour deputy leadership hopeful Dame Emily Thornberry to summon Lord Mandelson to give evidence before her committee. Lord Mandelson himself offered an apology for his links to Epstein, telling The Sun’s Harry Cole Saves The West programme he regretted “very, very deeply indeed carrying on” his association with the financier “for far longer than I should have done”. When asked whether he had continued a business or personal relationship with Epstein after he was charged with criminal offences, Lord Mandelson did not deny he maintained a form of relationship with him – responding: “It was not a business relationship.” He said he “never saw the wrongdoing” or “evidence of criminal activity”, adding he does not believe he is “named in the Epstein files”. Lord Mandelson described the words he used in his birthday message as “very embarrassing to see and read”. US lawyer Gloria Allred, who represents more than 20 survivors of Epstein, said Lord Mandelson should voluntarily sit for questioning by investigators. by Niamh Harris in News0 Charlie Kirk Shot Dead During Utah University Event Massive Solar Farm Approved In UK Countryside Copyright © 2025 Fact Checked Limited. All rights reserved |The People's Voice",Fake
Maine Mendoza on Arjo Atayde backlash: ‘You are condemning the wrong people’,"SUMMARY This is AI generated summarization, which may have errors. For context, always refer to the full article. COUPLE. Actor-turned-lawmaker Arjo Atayde poses for a photo with his wife, actress Maine Mendoza, during his inauguration as Quezon City 1st District representative. Maine Mendoza's Instagram MANILA, Philippines – Maine Mendoza has come to the defense of her husband, Quezon City 1st District Representative Juan Carlos “Arjo” Atayde, yet again. Atayde continues to receive public backlash after contractor couple Sarah Discaya and Pacifico “Curlee” Discaya expressed their desire to act as state witnesses in the flood control scandal. The Discaya couple named the actor-turned-politician as one of the17 public officialswho allegedly demanded kickbacks from them. In a Facebook post on Wednesday, September 10, Mendoza maintained her husband’s innocence, attesting that they are honest taxpayers who do not rely on the taxes of the Filipino people to fund their lifestyle. “Both of us (and our families) are financially capable of sustaining the lives that we live, and it’s personally offensive to be accused of spending money that we have rightfully earned outside politics. It’s unfair to reduce everything that we are and everything that we have worked for to that single narrative,” Mendoza wrote. TheEat Bulaga!mainstay said that if Atayde were to ever do anything dishonest, she “certainly wouldn’t defend him and cover for him.” Atayde himself denied the Discayas’ claims in an Instagram story on September 8, saying that he has “never dealt” with the contractor couple. Rappler, however, obtained and published photos of theTopakkactor posing with Curlee and Sarah. An old photo from Atayde’s own Facebook page had also resurfaced — showing him looking at a tarpaulin for a P50-million flood project helmed byWawao Builders. Atayde has since taken the photo down. Wawao Builders had become one of the top Department of Public Works and Highways (DPWH) contractors starting 2022. Public Works Secretary Manuel Bonoanearlier statedthat they had initial information that some of the firm’s flood control projects in Bulacan were ghost projects. Seemingly alluding to these photos, Mendoza said that they were taken out of context, and asked that the public not forget that “perception is not always reality.” “It is truly distressing to see people suffer in times of crisis because of corrupt politicians who put self-interest above all else, alongside their accomplices.Nakakagalit talaga(It really is infuriating).And we also believe those who are truly guilty should face accountability. Again, the truth will reveal itself in the end. We can only hope and pray that the justice system delivers justice to those who deserve it and to whom it’s due. I know we may be easy targets, but you are condemning the wrong people,” the 30-year-old showbiz personality continued. Mendoza further added that her husband plans to take legal action to clear his name. “Arjo has nothing to hide. He has never been guilty of stealing. I’ll end with this, not all politicians are corrupt — some are just convenient targets. The real villains are celebrating quietly in the shadows,” Mendoza said. This lengthy statement comes after the actress made a brief post on X referring to the Discayas’ claims as “baseless allegations,” asking the public to refrain from spewing hate comments at Atayde “until facts come out.” Atayde wasreelectedas Quezon City 1st District representative in the 2025 midterm elections. Hetied the knotwith Mendoza in 2023.– Rappler.com How does this make you feel? follow us",Real
Philippines protests China’s plan to build ‘nature reserve’ at Scarborough,"MANILA, Philippines — The Philippines has condemned China for its plan to establish a so-called ""national nature reserve"" in Bajo de Masinloc (Scarborough Shoal) — the latest in a string of moves by Beijing to step up its control over the feature. The Department of Foreign Affairs (DFA) said Thursday, September 11, that it will file a formal diplomatic protest to oppose China's planned construction of the ""Huangyan Island National Nature Reserve,"" warning that the move violates Philippine sovereignty and international law. Beijing refers to Bajo de Masinloc as Huangyan Dao. ""Bajo de Masinloc is a longstanding and integral part of the Philippines over which it has sovereignty and jurisdiction,"" the DFA said. ""The Philippines likewise has the exclusive authority to establish environmental protection areas over its territory and relevant maritime zones,"" it added. The DFA said the move is an ""illegitimate and unlawful action by China"" as it ""clearly infringes upon the rights and interests of the Philippines in accordance with international law."" China's State Council approved the creation of the 3,523-hectare ""Huangyan Island National Nature Reserve"" yesterday, with Beijing's forestry administration later saying it would focus on conserving coral reef ecosystems, according to Chinese state media. Details shared by Chinese state media show that the nature reserve will be set up on China's southernmost island city of Sansha — the prefecture-level city that Beijing established in 2012 to assert its claims in the South China Sea. China's State Council also ordered its agencies to strengthen law enforcement against ""all types of illegal and irregular activities within the nature reserve"" — language that indicates Beijing intends to more strictly police the area and drive out foreign vessels. The statement by the DFA on Thursday urged Beijing to “respect the sovereignty and jurisdiction of the Philippines over Bajo de Masinloc, refrain from enforcing and immediately withdraw its State Council issuance, and comply with its obligations” under the United Nations Convention on the Law of the Sea (UNCLOS), the 2016 arbitral award on the South China Sea, and the 2002 Declaration on the Conduct of Parties in the South China Sea. What came before.China’s plan to create a “nature reserve” comes after a year of steadily intensifying activity around the disputed reef. Presence of China Coast Guard (CCG) and Navy vessels has steadily grown in the waters around Bajo de Masinloc since January. Chinese vessels and air assets were also dispatched to and over the area in August, shortly after a rare collision between a People's Liberation Army Navy vessel and CCG vessel during a high-speed chase of a Philippine patrol boat. Bajo de Masinloc lies about 120 nautical miles west of Zambales and has been a flashpoint in Philippine-Chinese relations for more than a decade. In 2016, a tribunal in The Hague ruled in favor of the Philippines, declaring that China’s expansive “nine-dash line” claims in the South China Sea had no legal basis. The ruling also found that China had violated the rights of Filipino fishers by blocking their access to Scarborough Shoal. Beijing has rejected the ruling and continued to expand its presence in the disputed waters. Philstar.com is one of the most vibrant, opinionated, discerning communities of readers on cyberspace. With your meaningful insights, help shape the stories that can shape the country. Sign up now! Signup for the News Round now",Real
