Title,Text,Label,Source
South Korea foreign minister to visit China September 17-18,"Sign uphere. Reporting by Ju-min Park; Editing by Ed Davies Our Standards:The Thomson Reuters Trust Principles., opens new tab China's factory output growth slowed to its weakest pace in a year in August, while retail sales fell to a nine-month low, keeping pressure on Beijing to roll out more stimulus to fend off a sharp slowdown in growth in the $19 trillion economy. Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day. Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers. Access unmatched financial data, news and content in a highly-customised workflow experience on desktop, web and mobile. Browse an unrivalled portfolio of real-time and historical market data and insights from worldwide sources and experts. Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks. All quotes delayed a minimum of 15 minutes.See here for a complete list of exchanges and delays. © 2025 Reuters.All rights reserved",Real,Reuters
Big Pharma Stocks Plummet as White House Links COVID Jabs to Turbo Cancer,"Shares of Big Pharma companies churning out COVID-19 vaccines plummeted Friday, as a bombshell report ignited fears that White House officials are finally linking the deadly jabs to a surge in deaths from turbo cancer. The Washington Postreporthas blindsided investors, coming as a shock given President Donald Trump’s longstanding pride in Operation Warp Speed, the rushed program his first administration launched in 2020 to fast-track these experimental vaccines. Msn.comreports: The report, which cites four people described as familiar with the situation, said the government’s findings appear to be based on submissions to the Centers for Disease Control and Prevention’s Vaccine Adverse Event Reporting System. BYPASS THE CENSORSSign up to get unfiltered news delivered straight to your inbox. Sign up to get unfiltered news delivered straight to your inbox. You can unsubscribe any time. By subscribing you agree to ourTerms of Use Shares of Moderna Inc. which makes the Spikevax COVID vaccine, dropped 7% — putting them on track for their lowest close since March 13, 2020, the month in which the World Health Organization declared the coronavirus outbreak a pandemic. Pfizer Inc.’s stock slid 3.8% and BioNTech SE shares sank 7.3%, as those companies partner to make the Comirnaty COVID vaccine. Moderna responded to a MarketWatch request for comment by saying Spikevax is “rigorously” monitored by not only the U.S. Food and Drug Administration but also health regulators in more than 90 countries. “With more than 1 billion doses distributed globally, these systems — in the U.S., Australia, Canada and across European national health systems — have not identified any new or undisclosed safety concerns in children or in pregnant women,” Moderna’s statement said. Pfizer and BioNTech did not immediately respond to requests for comment. The White House and the U.S. Department of Health and Human Services also did not immediately respond to requests for comment. The report comes a week after the Wall Street Journal reported that Health and Human Services Secretary Robert F. Kennedy Jr. would release a report linking the use during pregnancy of acetaminophen, the active ingredient in Kenvue Inc.’s over-the-counter painkiller Tylenol, to autism in children. Meanwhile, RFK Jr.’s has faced criticism from both sides of the political aisle for his views, as the report also follows the grilling Kennedy faced last week by the Senate Finance Committee about his overhaul of the U.S. health system, including the firing in June of all the members of a panel that advises the CDC on vaccine policy. And RFK Jr.’s disdain for mRNA drugs, like the Moderna and Pfizer-BioNTech shots, is well documented. In early August, the Trump administration said it would stop funding mRNA drug development, as Kennedy doesn’t believe messenger RNA vaccines, are effective. by Niamh Harris in News0 Ukraine Adds Russian Toddlers to State-Backed ‘Kill List’ Rabbi Shmuley Using Charlie Kirk’s Killing To Raise Money… For Himself Copyright © 2025 Fact Checked Limited. All rights reserved |The People's Voice",Fake,PeoplesVoice
More nations air concern vs China's Scarborough nature reserve,"MANILA, Philippines — Canada, Australia, Japan, Denmark, and the European Union have voiced concern and opposition to China’s plan to establish a Scarborough Shoal “nature reserve,"" with the countries' foreign missions saying such a move undermines international law and threatens stability in the South China Sea. In separate statements over the weekend, diplomats said they were ""deeply concerned"" by Beijing's planned establishment of the reserve, which would run against the 2016 arbitral tribunal ruling and curb Filipino fishers' access to their traditional fishing grounds. The Canadian Embassy in the Philippines said on Sunday, September 14, that while protecting marine ecosystems in the South China Sea is important, it rejects ""attempts to use environmental protection as a way to take control over the disputed Scarborough Shoal."" “Canada recognizes the rights of states in the region, including the Philippines, to exercise sovereign rights and jurisdiction within their exclusive economic zones in accordance with international law,” the embassy said on X. Australian Ambassador Marc Innes-Brown expressed similar concerns, warning of the “potential implications” of China’s plan. He urged all parties to respect the United Nations Convention on the Law of the Sea (UNCLOS) and the 2016 ruling, which affirmed Filipino fishers’ rights to access Scarborough Shoal. Denmark’s ambassador to the Philippines, Franz-Michael Skjold Mellbin, referred to the proposed sanctuary as a “so-called national nature reserve“ and said he was ""deeply concerned” with China's plan. Melbin called on all parties to uphold the 2016 tribunal's ""unanimous decision that Filipino fishermen have the right to traditional fishing at Scarborough Reef."" Japan’s Ambassador Endo Kazuya said he was “seriously concerned” about Beijing’s announcement, warning that it “could undermine regional stability in the South China Sea.” He reiterated that the arbitral award is “final and legally binding,” and that the parties must comply with it. The European Union delegation in Manila likewise affirmed its support for Philippines' sovereign rights and maritime entitlements under international law. “Disputes should be resolved peacefully and any attempt to alter the status quo in disputed waters by unilateral action must be avoided,” it said. Losing a lifeline.Scarborough Shoal was previously a lifeline for hundreds of small-scale fishermen from Zambales, Pangasinan, and Bataan, many of whom rely on these waters amid depleted fishing grounds in Luzon. But since 2012 — after China seized control of Scarborough after a months-long standoff with the Philippine Navy — Filipinos' access to the resource-rich waters has been sharply restricted. Filipino fishermen have reported being chased away with water cannons, blocked from entering the lagoon, or forced to give up part of their catch to China Coast Guard personnel. The plan.China’s State Council last week approved the creation of the 3,523-hectare “Huangyan Island National Nature Reserve,” which Chinese state media said would focus on conserving coral reef ecosystems. But the order also directed Chinese agencies to step up enforcement against “illegal and irregular activities” in the area, a directive that could be used to further drive out Filipino fishers and tighten Beijing’s grip over the shoal. The plan has already drawn pushback from Washington. United States Secretary of State Marco Rubio said on September 12 that Beijing’s move was “yet another coercive attempt” to assert sweeping claims in the South China Sea “at the expense of its neighbors.” Philstar.com is one of the most vibrant, opinionated, discerning communities of readers on cyberspace. With your meaningful insights, help shape the stories that can shape the country. Sign up now! Signup for the News Round now",Real,Philstar
Ukraine Adds Russian Toddlers to State-Backed ‘Kill List’,"A group of Russian children, the youngest a mere three years old, has been viciously targeted by Ukraine’s controversial Mirotvorets website, a state-backed ‘kill list’ that exposes personal details of those branded as ‘enemies’ of the regime, in a chilling escalation of hatred against innocents. According to an entry added on September 13, one child born in April 2022 is accused of “conscious violation of the state border” and “encroachment on sovereignty,” while on the same day five other minors aged 5, 9, 10, 12, and 16 were blacklisted for similar fabricated offenses. Earlier this week, a five-year-old and several 11-year-olds were added to the site, exposing the dark underbelly of Ukraine’s propaganda machine that spares no one, not even toddlers. Rt.comreports: Russia’s special envoy on humanitarian issues, Rodion Miroshnik, condemned the targeting of children, accusing Kiev of“sowing discord and hatred”to incite hostility toward other Slavic nations. BYPASS THE CENSORSSign up to get unfiltered news delivered straight to your inbox. Sign up to get unfiltered news delivered straight to your inbox. You can unsubscribe any time. By subscribing you agree to ourTerms of Use “The Ukrainian Reich is declaring toddlers enemies of their state,”he told TASS.“The radicals and Nazis who rule the ball in Ukraine today harass not only politicians or military personnel, but also their children, their close and distant relatives, seeking to sow the seeds of hatred as deeply as possible into the shattered consciousness of Ukrainians.” Launched in 2014, Mirotvorets publishes the personal data of individuals it claims threaten Ukraine’s national security. Although nominally independent, the site is closely linked to Ukrainian state security services and has been branded a ‘kill list’, as several people listed on it – including journalists and politicians – have later been killed or died under suspicious circumstances. Russian Foreign Ministry spokeswoman Maria Zakharova has described the website as a hit list targeting individuals Kiev allegedly wants to“eliminate.” In addition to Russian children, Mirotvorets has previously targeted numerous international figures. Earlier this year, Hollywood director Woody Allen, actor Mark Eydelshteyn, and Russian hockey star Alexander Ovechkin were added. Israel’s 2024 Eurovision contestant, Eden Golan, was blacklisted for taking part in a children’s competition in Crimea when she was 12. The list has also included prominent Americans such as US Director of National Intelligence Tulsi Gabbard and journalist Tucker Carlson. Other high-profile figures have included Croatian President Zoran Milanovic, Hungarian Prime Minister Viktor Orban, the late US diplomat Henry Kissinger, and musician Roger Waters. by Niamh Harris in News0 Biden Admin Spent $10mn In Taxpayer Funds On ‘Transgender Lab Rats’ Big Pharma Stocks Plummet as White House Links COVID Jabs to Turbo Cancer Copyright © 2025 Fact Checked Limited. All rights reserved |The People's Voice",Fake,PeoplesVoice
Maine Mendoza on Arjo Atayde backlash: ‘You are condemning the wrong people’,"SUMMARY This is AI generated summarization, which may have errors. For context, always refer to the full article. COUPLE. Actor-turned-lawmaker Arjo Atayde poses for a photo with his wife, actress Maine Mendoza, during his inauguration as Quezon City 1st District representative. Maine Mendoza's Instagram MANILA, Philippines – Maine Mendoza has come to the defense of her husband, Quezon City 1st District Representative Juan Carlos “Arjo” Atayde, yet again. Atayde continues to receive public backlash after contractor couple Sarah Discaya and Pacifico “Curlee” Discaya expressed their desire to act as state witnesses in the flood control scandal. The Discaya couple named the actor-turned-politician as one of the17 public officialswho allegedly demanded kickbacks from them. In a Facebook post on Wednesday, September 10, Mendoza maintained her husband’s innocence, attesting that they are honest taxpayers who do not rely on the taxes of the Filipino people to fund their lifestyle. “Both of us (and our families) are financially capable of sustaining the lives that we live, and it’s personally offensive to be accused of spending money that we have rightfully earned outside politics. It’s unfair to reduce everything that we are and everything that we have worked for to that single narrative,” Mendoza wrote. TheEat Bulaga!mainstay said that if Atayde were to ever do anything dishonest, she “certainly wouldn’t defend him and cover for him.” Atayde himself denied the Discayas’ claims in an Instagram story on September 8, saying that he has “never dealt” with the contractor couple. Rappler, however, obtained and published photos of theTopakkactor posing with Curlee and Sarah. An old photo from Atayde’s own Facebook page had also resurfaced — showing him looking at a tarpaulin for a P50-million flood project helmed byWawao Builders. Atayde has since taken the photo down. Wawao Builders had become one of the top Department of Public Works and Highways (DPWH) contractors starting 2022. Public Works Secretary Manuel Bonoanearlier statedthat they had initial information that some of the firm’s flood control projects in Bulacan were ghost projects. Seemingly alluding to these photos, Mendoza said that they were taken out of context, and asked that the public not forget that “perception is not always reality.” “It is truly distressing to see people suffer in times of crisis because of corrupt politicians who put self-interest above all else, alongside their accomplices.Nakakagalit talaga(It really is infuriating).And we also believe those who are truly guilty should face accountability. Again, the truth will reveal itself in the end. We can only hope and pray that the justice system delivers justice to those who deserve it and to whom it’s due. I know we may be easy targets, but you are condemning the wrong people,” the 30-year-old showbiz personality continued. Mendoza further added that her husband plans to take legal action to clear his name. “Arjo has nothing to hide. He has never been guilty of stealing. I’ll end with this, not all politicians are corrupt — some are just convenient targets. The real villains are celebrating quietly in the shadows,” Mendoza said. This lengthy statement comes after the actress made a brief post on X referring to the Discayas’ claims as “baseless allegations,” asking the public to refrain from spewing hate comments at Atayde “until facts come out.” Atayde wasreelectedas Quezon City 1st District representative in the 2025 midterm elections. Hetied the knotwith Mendoza in 2023.– Rappler.com How does this make you feel? follow us",Real,Rappler
Max Blumenthal: Charlie Kirk Was ‘Frightened’ By Pro-Israel Forces Before His Death,"Charlie Kirk was frightened by pro Israeli forces before his death according to Max Blumenthal. Blumenthalclaims that Kirk was not only afraid of Netanyahu but was coming under a great deal pressure from Jewish billionaire donors who funded TPUSA to fall in line with the pro Israel agenda: Max Blumenthal:Charlie Kirk was afraid of Netanyahu and was coming under pressure from Jewish billionaire donors who funded TPUSA to fall in line with the pro Israel agenda.Max mentions Nick & Groypers.pic.twitter.com/EJ5s6TNeMQ After TPUSA, ""Kirk was bombarded with infuriated text messages and calls from Netanyahu’s wealthy allies in the US, including many who had funded TPUSA. According to his longtime friend, the Zionist donors treated Kirk with outright contempt, essentially ordering him to fall back…https://t.co/E5POXlFWKz In the weeks leading up to his September 10 assassination, Kirk hadreportedlycome to loathe the Israeli leader, regarding him as a “bully”. Kirk was disgusted by what he witnessed inside the Trump administration, where Netanyahu sought to personally dictate the president’s personnel decisions, and weaponized Israeli assets to keep the White House firmly under its thumb. BYPASS THE CENSORSSign up to get unfiltered news delivered straight to your inbox. Sign up to get unfiltered news delivered straight to your inbox. You can unsubscribe any time. By subscribing you agree to ourTerms of Use Yet, within minutes of Kirks death being announced Israeli PM Benjamin Netanyagu along with other Israeli officials rushed to eulogise him and emphasize his support for Israel. That was soon followed by a growing number of online social media accounts, as well as some well-known personalities starting to claim that Israel or the Mossad was behind his killing. Israeli Prime Minister Netanyahu was very quick to respond and very vocal in his denial of Israel having any part in the killing. During an interview withNewsmaxon Friday he said:  “I want you to address one thing, and it’s just the absurdity of it, some of the internet rumors that somehow Israel is behind the Charlie Kirk murder.” “That’s insane, that’s insane,” he added mocking the claims saying that “Israel also changes the orbit of the moon, Israel pushes the sun….I mean, the whole thing is not only insane, I think it’s so absurd, so stupid” All Israel Newsreports:He also pointed out the willingness of many who hate Israel to “promote absurd rumors.” “When you hate Jews, when you hate the Jewish State, you’re willing to say anything and promote all these absurd rumors,” he stated, noting that antisemitic rumors have often preceded the killings of Jews throughout history. “In the Middle Ages, the horrific Middle Ages, the worst things were said about Jews,” Netanyahu expressed, “we were poisoning wells, we were drinking the blood of Christian children, you name it.” The prime minister went on to note that “these things that continued actually up to the Holocaust. The Nazis said the same things.” He warned about he effects of such rumors, saying, “People believed it. And every time they believed it, this was the prelude to a greater and greater massacre, culminating with the worst massacre of them all, the Holocaust Here is Kirks final interview where he criticizes Israel to Ben Shapiro’s face Charlie Kirk's now final interview: he criticised Israel to Ben Shapiro's facepic.twitter.com/M94OTcDf7f by Niamh Harris in News0 Rabbi Shmuley Using Charlie Kirk’s Killing To Raise Money… For Himself Copyright © 2025 Fact Checked Limited. All rights reserved |The People's Voice",Fake,PeoplesVoice
LIVE: Press conference on September 21 protests vs flood control mess,"MANILA, Philippines – Protest organizers are holding a press conference on Monday, September 15, about theSeptember 21 anti-corruption ralliesat Luneta and the People Power Monument. The press conference is organized by the Church Leaders Council for National Transformation, composed of Catholic and Protestant representatives, along with civil society groups, people’s organizations, and sectoral leaders. Watch the livestream at 10 am on Monday, September 15.– Rappler.com How does this make you feel? follow us",Fake,Rappler_FactCheck
In the Public Square: What will be BBM’s real legacy?,"President Ferdinand Marcos Jr. is midway through his term. Will he use his fourth State of the Nation Address to start cementing a legacy? But wait — there’s a legacy? What is this legacy? More to the point, are the remaining three years enough time to do more; much more? In this episode of In the Public Square, Rappler columnist John Nery is joined by preeminent economist and former National Economic and Development Authority chief Cielito Habito, and preeminent cultural critic Marian Pastor Roces. Catch the episode on Wednesday, July 23, at 8 pm.– Rappler.com How does this make you feel? follow us",Real,Rappler
Ex-justice Andres Reyes Jr. to head Marcos’ anti-graft commission,"MANILA, Philippines — Retired associate justice Andres Reyes Jr. will officially head President Ferdinand Marcos Jr.’s independent commission to probe anomalous flood control projects and other infrastructure. Marcos made the announcement at a press briefing in Malacañan Palace on Monday, September 15. An appointee by former president Rodrigo Duterte, Reyes will serve as the official chair of the Independent Commission for Infrastructure, serving along former public works secretary Rogelio Singson and SGV country managing partner Rossana Fajardo. READ:Who's who: Members of Marcos’ independent flood probe body Rounding up Marcos’ anti-graft commission is Baguio City Mayor Benjie Magalong, who will serve as a special advisor to the commission. Marcos first called attention to the massive corruption in flood control during his fourth State of the Nation Address. A probe would later reveal ghost projects from some of the country’s top government contractors, such as the Discaya-owned St. Timothy Construction Corp., and Wawao Builders. Parallel investigations.The revelations triggered parallel probes from both chambers of Congress, which would yield the names of the politicians who allegedly colluded with these contractors. The probe in the House of Representatives tagged lawmakers from the Senate, namely senators Joel Villanueva and Jinggoy Estrada. Villanueva was alleged to have gotten millions in kickback schemes from budget insertions made in the 2023 national budget, while Estrada was alleged to have done the same with the 2025 budget. The Senate probe, meanwhile, tagged several House lawmakers, including Quezon City representative Arjo Atayde. As lawmakers continue to point fingers, outrage over the corruption of public funds has continued to grow, with mass mobilizations emerging across the country. Philstar.com is one of the most vibrant, opinionated, discerning communities of readers on cyberspace. With your meaningful insights, help shape the stories that can shape the country. Sign up now! Signup for the News Round now",Real,Philstar
Watchdogs flag ‘None of the Above’ option for BARMM polls | The wRap,"Here are today’s headlines – the latest news in the Philippines and around the world: Election monitors are warning that the Bangsamoro region’s first parliamentary elections this October could face serious issues if many voters choose ‘None of the Above.’ Mamamayang Liberal Representative Leila de Lima filed a complaint with the Department of Justice against prosecutors who appealed her recent drug case acquittal. The Senate’s Office of the Sergeant-at-Arms has investigated the alleged marijuana use of a staff member of Senator Robin Padilla within the premises. Pop star Taylor Swift says her upcoming album, ‘The Life of a Showgirl,’ was inspired by the joy of performing on her record-breaking Eras Tour. Liza Soberano confirms that she and Enrique Gil already ended their relationship three years ago. In a podcast-documentary, she described Gil as her first love, but said she had long wanted to reveal their breakup.– Rappler.com How does this make you feel? follow us",Real,Rappler
