jejemon,normal
aq,ako
q,ko
kew,ikaw
da,the
aye,i
kah,ka
nah,na
poh,po
tah,ta
bah,ba
dah,da
yah,ya
wah,wa
hah,ha
noh,no
koh,ko
toh,to
doh,do
boh,bo
pah,pa
7hol,cityhall
p,pa
d,hindi
2,to
4,for
u,you
ur,you're
b4,before
l8r,later
c,see
r,are
y,why
bcoz,because
coz,because
bcuz,because
cuz,because
luv,love
b,be
w/,with
w,with
n,and
2day,today
2moro,tomorrow
2nite,tonight
sum1,someone
any1,anyone
no1,no one
sum,some
wat,what
wer,where
wen,when
hu,who
hw,how
dun,doon
cant,can't
wont,will not
shud,should
cud,could
wud,would
gud,good
gr8,great
pic,picture
pics,pictures
msg,message
txt,text
fon,phone
ppl,people
pls,please
plz,please
k,okay
ok,okay
lol,laugh out loud
omg,oh my god
btw,by the way
asap,as soon as possible
fyi,for your information
ttyl,talk to you later
brb,be right back
gtg,got to go
thx,salamat
thanx,thanks
thnx,thanks
youre,you are
im,i am
ive,i have
id,i would
ill,i will
weve,we have
wed,we would
well,we will
theyre,they are
theyve,they have
theyd,they would
theyll,they will
youve,you have
youd,you would
youll,you will
isnt,is not
arent,are not
wasnt,was not
werent,were not
hasnt,has not
havent,have not
hadnt,had not
didnt,did not
doesnt,does not
dont,do not
wouldnt,would not
shouldnt,should not
couldnt,could not
mustnt,must not
neednt,need not
oughtnt,ought not
mightnt,might not
galing,galing
san,saan
ung,yung
lng,lang
xia,sya
xa,sya
tym,time
2gether,together
4ever,forever
ayt,alright
ayos,ayos
oist,uy
helo,hello
eow,hello
eo,hello
aw,hello
aww,hello
awow,hello
kc,kasi
kse,kasi
kasi,kasi
nmn,naman
nman,naman
namn,naman
maal,mahal
mahal,mahal
s,sa
sb,sabi
sbi,sabi
sbhn,sabihan
sbhin,sabihan
pgod,pagod
pgud,pagod
tgal,tagal
tgalog,tagalog
mgpahnga,magpahinga
kpag,kapag
kpg,kapag
cguro,siguro
sguro,siguro
mdami,madami
mrami,marami
mgnda,maganda
mganda,maganda
gnda,ganda
ganda,ganda
pogi,pogi
pgo,pogi
gwa,gawa
gwo,gawa
pra,para
pr,para
hndi,hindi
hnd,hindi
di,hindi
oo,oo
opo,opo
opoh,opo
sus,sus
grabe,grabe
grbi,grabe
amf,amputa
amp,amputa
ambot,i don't know
ewan,ewan
haha,haha
hehe,hehehe
hihi,hihi
hoho,hoho
huhu,huhu
keri,kaya
kery,kaya
kaya,kaya
kya,kaya
dito,dito
dto,dito
jan,diyan
dyan,diyan
don,doon
doon,doon
sana,sana
sn,sana
malay,malay
mlay,malay
baka,baka
bka,baka
siguro,siguro
basta,basta
bsta,basta
parang,parang
prng,parang
prang,parang
kunware,kunware
kuware,kunware
kuwari,kunware
knware,kunware
knwari,kunware
bigla,bigla
bgla,bigla
biglang,biglang
bglang,biglang
bglng,biglang
biglng,biglang
sabay,sabay
sby,sabay
sbay,sabay
saby,sabay
tapos,tapos
tpos,tapos
tas,tapos
pero,pero
piro,pero
pru,pero
pag,pag
pg,pag
kapag,kapag
kung,kung
kng,kung
kahit,kahit
kht,kahit
lahat,lahat
lhat,lahat
laht,lahat
wala,wala
wla,wala
walang,walang
wlang,walang
meron,meron
miron,meron
mrun,meron
may,may
naman,naman
talaga,talaga
tlaga,talaga
tlga,talaga
totoo,totoo
totoong,totoong
ttoo,totoo
tama,tama
tm,tama
mali,mali
ml,mali
importante,importante
kelangan,kelangan
klangan,kelangan
kailangan,kailangan
klngan,kailangan
gusto,gusto
gsto,gusto
ayaw,ayaw
ayw,ayaw
yaw,ayaw
ayoko,ayoko
yoko,ayoko
ayk,ayoko
trip,trip
trp,trip
sige,okay
sg, sige
okey,okay
ky,okey
okay,okay
oks,okay
salamat,salamat
slmt,salamat
slmat,salamat
thanks,thanks
thank,thank
ty,thank you
welcome,welcome
wlcome,welcome
wlcm,welcome
sorry,sorry
sory,sorry
soryy,sorry
sry,sorry
srry,sorry
pasensya,pasensya
psnsy,pasensya
paumanhin,paumanhin
excuse,excuse
tawag,tawag
twag,tawag
twg,tawag
call,call
chat,chat
usap,usap
usp,usap
usapan,usapan
usapn,usapan
uspn,usapan
kwento,kwento
kwnt,kwento
story,story
joke,joke
jk,joke
biruan,biruan
bruan,biruan
tawanan,tawanan
twanan,tawanan
saya,saya
sy,saya
tuwa,tuwa
twa,tuwa
tuw,tuwa
lungkot,sad
lngkot,lungkot
malungkot,malungkot
mlngkot,malungkot
galit,galit
galt,galit
glit,galit
sama,sama
sm,sama
takot,takot
tkt,takot
gulat,gulat
pagod,pagod
tired,tired
antok,antok
antk,antok
ntok,antok
sleepy,sleepy
gising,gising
gsing,gising
awake,awake
tulog,tulog
tulg,tulog
tlog,tulog
tlg,tulog
sleep,sleep
kain,kain
kn,kain
eat,eat
8t,eat
inom,inom
nm,inom
